name,owner,stargazerCount,created_at,time_since_created_at_in_seconds,pull_requests_accepted,releases_count,last_updated,current_date,time_since_last_update_in_seconds,primary_language,primary_language_mapping,total_issues,closed_issues,closed_issues_ratio
restic,restic,25629,2014-04-27T14:07:58Z,326626409.836757,2030,44,2024-09-01T22:44:10Z,2024-09-01 23:41:27.836757+00:00,3437.836757,Go,8.0,2618,2270,0.86707410236822
Modernizr,Modernizr,25628,2009-09-25T20:13:23Z,471324484.836757,806,27,2024-09-01T21:33:03Z,2024-09-01 23:41:27.836757+00:00,7704.836757,JavaScript,2.0,1490,1321,0.8865771812080537
lottie-ios,airbnb,25622,2016-10-06T22:38:38Z,249440569.836757,708,68,2024-09-01T20:32:09Z,2024-09-01 23:41:27.836757+00:00,11358.836757,Swift,29.0,1410,1389,0.9851063829787234
fonts,powerline,25613,2012-12-19T13:31:50Z,369310177.836757,75,1,2024-09-01T20:55:23Z,2024-09-01 23:41:27.836757+00:00,9964.836757,Shell,5.0,252,96,0.38095238095238093
headlessui,tailwindlabs,25589,2020-09-16T09:53:09Z,124984098.836757,570,110,2024-09-01T23:25:26Z,2024-09-01 23:41:27.836757+00:00,961.836757,TypeScript,0.0,1256,1205,0.9593949044585988
awesome-cto,kuchin,25577,2016-12-16T19:22:18Z,243317949.836757,12,0,2024-09-01T13:46:24Z,2024-09-01 23:41:27.836757+00:00,35703.836757,,,10,8,0.8
spleeter,deezer,25576,2019-09-26T15:40:46Z,155721641.836757,49,2,2024-09-01T07:48:03Z,2024-09-01 23:41:27.836757+00:00,57204.836757,Python,1.0,769,561,0.729518855656697
emscripten,emscripten-core,25572,2011-02-12T05:23:30Z,427745877.836757,10815,0,2024-09-01T15:45:53Z,2024-09-01 23:41:27.836757+00:00,28534.836757,C++,3.0,9207,7445,0.8086238731400022
butterknife,JakeWharton,25564,2013-03-05T08:18:59Z,362762548.836757,346,0,2024-09-01T01:58:09Z,2024-09-01 23:41:27.836757+00:00,78198.836757,Java,7.0,1193,1090,0.9136630343671417
fish-shell,fish-shell,25549,2012-05-10T03:00:55Z,388615232.836757,1875,44,2024-09-01T22:42:19Z,2024-09-01 23:41:27.836757+00:00,3548.836757,Rust,13.0,7140,6718,0.9408963585434174
cascadia-code,microsoft,25544,2019-07-10T22:50:20Z,162435067.836757,82,19,2024-09-01T20:48:06Z,2024-09-01 23:41:27.836757+00:00,10401.836757,Python,1.0,614,489,0.7964169381107492
filebrowser,filebrowser,25533,2015-09-11T21:21:58Z,283227569.836757,504,60,2024-09-01T21:45:47Z,2024-09-01 23:41:27.836757+00:00,6940.836757,Go,8.0,2318,2247,0.9693701466781708
Rectangle,rxhanson,25510,2019-06-21T21:34:53Z,164081194.836757,237,85,2024-09-01T20:36:45Z,2024-09-01 23:41:27.836757+00:00,11082.836757,Swift,29.0,623,541,0.8683788121990369
ItChat,littlecodersh,25410,2016-01-19T07:49:48Z,272044299.836757,29,13,2024-09-01T21:17:44Z,2024-09-01 23:41:27.836757+00:00,8623.836757,Python,1.0,895,622,0.6949720670391062
YouCompleteMe,ycm-core,25397,2012-04-16T03:12:14Z,390688153.836757,786,0,2024-09-01T17:39:13Z,2024-09-01 23:41:27.836757+00:00,21734.836757,Python,1.0,3239,3220,0.9941339919728311
Free-Certifications,cloudcommunity,25390,2020-07-31T10:26:19Z,129042908.836757,106,0,2024-09-01T21:57:08Z,2024-09-01 23:41:27.836757+00:00,6259.836757,,,87,66,0.7586206896551724
Pake,tw93,25375,2022-10-14T09:32:57Z,59494110.836757,90,28,2024-09-01T15:45:53Z,2024-09-01 23:41:27.836757+00:00,28534.836757,Rust,13.0,287,264,0.9198606271777003
Signal-Android,signalapp,25369,2011-12-15T20:01:12Z,401254815.836757,238,24,2024-09-01T21:58:41Z,2024-09-01 23:41:27.836757+00:00,6166.836757,Kotlin,27.0,10788,10398,0.9638487208008899
LLMs-from-scratch,rasbt,25359,2023-07-23T18:15:57Z,35097930.836757,191,0,2024-09-01T22:36:14Z,2024-09-01 23:41:27.836757+00:00,3913.836757,Jupyter Notebook,15.0,78,77,0.9871794871794872
Hello-Python,mouredev,25357,2022-08-03T17:14:53Z,65687194.836757,0,0,2024-09-01T23:27:05Z,2024-09-01 23:41:27.836757+00:00,862.836757,Python,1.0,40,25,0.625
awesome-deep-learning-papers,terryum,25351,2016-06-03T06:48:30Z,260297577.836757,39,0,2024-09-01T21:42:44Z,2024-09-01 23:41:27.836757+00:00,7123.836757,TeX,37.0,26,11,0.4230769230769231
taichi,taichi-dev,25329,2016-11-24T10:00:05Z,245252482.836757,5149,116,2024-09-01T12:13:49Z,2024-09-01 23:41:27.836757+00:00,41258.836757,C++,3.0,2650,1865,0.7037735849056603
openssl,openssl,25314,2013-01-15T22:34:48Z,366944799.836757,135,31,2024-09-01T22:17:47Z,2024-09-01 23:41:27.836757+00:00,5020.836757,C,4.0,9860,8059,0.817342799188641
modern-js-cheatsheet,mbeaudru,25293,2017-09-18T14:56:00Z,219487527.836757,84,0,2024-09-01T17:05:22Z,2024-09-01 23:41:27.836757+00:00,23765.836757,,,51,42,0.8235294117647058
MiniGPT-4,Vision-CAIR,25278,2023-04-15T22:17:09Z,43637058.836757,19,0,2024-09-01T21:22:54Z,2024-09-01 23:41:27.836757+00:00,8313.836757,Python,1.0,458,121,0.26419213973799127
toBeTopJavaer,hollischuang,25271,2018-10-25T09:54:54Z,184772793.836757,52,0,2024-09-01T21:52:58Z,2024-09-01 23:41:27.836757+00:00,6509.836757,Java,7.0,127,70,0.5511811023622047
so-vits-svc,svc-develop-team,25231,2023-03-10T09:31:09Z,46793418.836757,153,0,2024-09-01T17:06:46Z,2024-09-01 23:41:27.836757+00:00,23681.836757,Python,1.0,130,109,0.8384615384615385
fe-interview,haizlin,25204,2019-04-17T03:05:58Z,169763729.836757,8,2,2024-09-01T20:49:13Z,2024-09-01 23:41:27.836757+00:00,10334.836757,JavaScript,2.0,5859,26,0.004437617340843148
discord.js,discordjs,25204,2015-08-10T13:36:26Z,286020301.836757,4472,233,2024-09-01T20:44:56Z,2024-09-01 23:41:27.836757+00:00,10591.836757,TypeScript,0.0,3984,3904,0.9799196787148594
srs,ossrs,25192,2015-04-29T06:59:32Z,294943315.836757,455,66,2024-09-01T22:28:38Z,2024-09-01 23:41:27.836757+00:00,4369.836757,C++,3.0,1397,1239,0.8869005010737294
